onset,duration,run_number,trial_number,task,fixation_position,trial_onset,trial_offset
69095.17682,3.5928579,2,40,3,4,5128608.0,5132208.0
69098.77801,3.592887,2,41,3,3,5132209.0,5135809.0
69102.37916,3.5929216,2,42,3,4,5135811.0,5139410.0
69105.98041,3.5928118,2,43,3,1,5139411.0,5143011.0
69109.58156,3.592862,2,44,3,3,5143012.0,5146613.0
69113.18282,3.5928553,2,45,3,1,5146614.0,5150214.0
69116.78396,3.5929076,2,46,3,2,5150215.0,5153815.0
69120.38515,3.5929139,2,47,3,3,5153816.0,5157417.0
69123.98635,3.5928318,2,48,3,2,5157418.0,5161018.0
69127.58761,3.5928098,2,49,3,5,5161019.0,5164619.0
69131.18881,3.592827,2,50,3,3,5164622.0,5168220.0
69134.78995,5.9936719,2,51,1,3,5168223.0,5174222.0
69140.79202,3.5927874,2,52,4,5,5174224.0,5177823.0
69144.39316,3.5928529,2,53,4,4,5177824.0,5181424.0
69147.99436,3.5929083,2,54,4,3,5181425.0,5185026.0
69151.59555,3.592861,2,55,4,4,5185027.0,5188627.0
69155.19674,3.5929337,2,56,4,1,5188628.0,5192228.0
69158.79795,3.5928658,2,57,4,3,5192232.0,5195830.0
69162.39914,3.592875,2,58,4,1,5195832.0,5199431.0
69166.00035,3.592911,2,59,4,2,5199432.0,5203032.0
69169.60162,3.5929201,2,60,4,3,5203034.0,5206634.0
69173.20277,3.5928365,2,61,4,2,5206636.0,5210234.0
69176.80395,3.592924,2,62,4,5,5210235.0,5213836.0
69180.40514,3.5929907,2,63,4,3,5213837.0,5217437.0
69184.00636,3.5928953,2,64,4,5,5217438.0,5221038.0
69187.60753,3.5928831,2,65,4,4,5221039.0,5224639.0
69191.20875,3.5928563,2,66,4,3,5224640.0,5228241.0
69194.80994,3.5929215,2,67,4,4,5228242.0,5231842.0
69198.41116,3.5929163,2,68,4,1,5231843.0,5235443.0
69202.01235,3.5929188,2,69,4,3,5235444.0,5239044.0
69205.61354,3.5929233,2,70,4,1,5239046.0,5242646.0
69209.21474,3.5928682,2,71,4,2,5242647.0,5246247.0
69212.81592,3.5929609,2,72,4,3,5246248.0,5249848.0
69216.41721,3.5928628,2,73,4,2,5249849.0,5253449.0
69220.01835,3.5928708,2,74,4,5,5253451.0,5257050.0
69223.61955,3.5929101,2,75,4,3,5257051.0,5260651.0
69227.22075,5.9936574,2,76,1,3,5260654.0,5266654.0
69233.22276,3.5929218,2,77,5,5,5266655.0,5270255.0
69236.82401,3.5928009,2,78,5,4,5270256.0,5273856.0
69240.42521,3.592862,2,79,5,3,5273857.0,5277458.0
69244.02634,3.5929601,2,80,5,4,5277459.0,5281059.0
69247.62761,3.5928637,2,81,5,1,5281064.0,5284660.0
69251.22875,3.5929313,2,82,5,3,5284664.0,5288261.0
69254.82995,3.5928677,2,83,5,1,5288264.0,5291862.0
69258.43116,3.5929063,2,84,5,2,5291863.0,5295463.0
69262.03235,3.5929194,2,85,5,3,5295465.0,5299065.0
69265.63355,3.5929196,2,86,5,2,5299066.0,5302666.0
69269.23474,3.5929379,2,87,5,5,5302667.0,5306267.0
69272.83599,3.592887,2,88,5,3,5306268.0,5309868.0
69276.43716,3.5928739,2,89,5,5,5309870.0,5313470.0
69280.03848,3.5927486,2,90,5,4,5313472.0,5317071.0
69283.63956,3.5929099,2,91,5,3,5317073.0,5320672.0
69287.24076,3.5929085,2,92,5,4,5320673.0,5324274.0
69290.84195,3.5928533,2,93,5,1,5324275.0,5327875.0
69294.44314,3.5929486,2,94,5,3,5327877.0,5331476.0
69298.04435,3.5929309,2,95,5,1,5331477.0,5335077.0
69301.64555,3.5929293,2,96,5,2,5335078.0,5338678.0
69305.24675,3.5928906,2,97,5,3,5338679.0,5342279.0
69308.84796,3.5929138,2,98,5,2,5342283.0,5345881.0
69312.44916,3.5929166,2,99,5,5,5345883.0,5349482.0
69316.05036,3.5929142,2,100,5,3,5349483.0,5353083.0
69319.65155,5.9937279,2,101,1,3,5353087.0,5359086.0
